Unnamed: 0,2019*,2020*
Department of Agriculture,480,311
Department of Commerce,403,392
Department of Defense,8743,9643
Department of Education,139,143
Department of Energy,520,557
Department of Health & Human Services,474,460
Department of Homeland Security,1921,1919
Department of Housing & Urban Development,35,25
Department of Justice,824,881
Department of Labor,93,94
Department of State,363,400
Department of the Interior,103,111
Department of the Treasury,505,422
Department of Transportation,224,232
Department of Veterans Affairs,530,513
Environmental Protection Agency,44,45
General Services Administration,79,80
National Aeronautics & Space Administration,169,171
National Science Foundation,239,224
Nuclear Regulatory Commission,32,29
Office of Personnel Management,45,47
Small Business Administration,16,16
Social Security Administration,225,205
U.S. Agency for International Developmen,68,44
Non-CFO Act Agencies,382,372
