Unnamed: 0,Advertising revenue,Other revenue
Q4 '19,5071,88
Q3 '19,4057,67
Q2 '19,4043,66
Q1 '19,3609,41
Q4 '18,4087,64
Q3 '18,3266,47
Q2 '18,3247,55
Q1 '18,2992,44
Q4 '17,3196,54
Q3 '17,2434,47
Q2 '17,2209,33
Q1 '17,1869,36
Q4 '16,2025,40
Q3 '16,1563,42
Q2 '16,1545,40
Q1 '16,1270,37
Q4 '15,1413,43
Q3 '15,1041,44
Q2 '15,987,50
Q1 '15,855,53
Q4 '14,960,70
Q3 '14,783,61
Q2 '14,757,67
Q1 '14,631,67
Q4 '13,658,69
Q3 '13,482,56
Q2 '13,451,54
Q1 '13,367,56
Q4 '12,374,66
Q3 '12,295,46
Q2 '12,294,52
Q1 '12,274,54
Q4 '11,306,55
Q3 '11,245,45
Q2 '11,245,30
Q1 '11,206,23
Q4 '10,201,17
Q3 '10,130,4
Q2 '10,128,1
Q1 '10,96,0
