Unnamed: 0,Public,Private
United States,4860,5032
Switzerland,5038,2881
Luxembourg,6194,1269
Norway,5664,983
Germany,4695,856
Ireland,3879,1650
Sweden,4603,884
Netherlands,4354,1032
Austria,3957,1270
Denmark,4374,831
Belgium,3740,1100
Canada,3341,1412
Australia*,3190,1518
France,3626,974
Japan,3801,718
Iceland*,3593,784
United Kingdom,3320,872
Finland,3017,1017
OECD-35,2937,1066
New Zealand,2879,711
Italy,2545,847
Spain,2293,955
Slovenia,2036,799
Israel**,1702,1120
Portugal,1811,923
Korea,1538,1191
Czech Republic,2097,447
Greece,1296,927
Slovak Republic,1715,435
Hungary,1434,667
Estonia,1513,476
Chile,1200,777
Lithuania,1319,652
Poland,1240,558
Latvia,828,639
Costa Rica**,1010,380
Russian Federation,825,526
South Africa,554,595
Turkey,863,224
Mexico,558,522
Brazil**,549,445
Colombia**,724,240
China**,409,324
Indonesia**,114,188
India**,81,188
