Unnamed: 0,2012,2013,2014,2015,2016,2017,2018
Dec,978.26,677.65,781.6,440.05,551.57,793.25,103.2
Nov,1102.68,672.88,898.24,558.6,499.78,779.01,996.0
Oct,1163.04,558.69,1002.93,909.44,506.17,825.97,108.1
Sept,993.78,301.15,883.95,802.04,473.01,732.73,995.0
Aug,1037.79,564.52,997.71,915.21,503.03,819.62,1096.0
Jul,1013.65,765.11,885.77,911.61,529.21,781.19,1101.08
Jun,849.52,988.57,785.65,820.02,328.6,532.96,855.04
May,845.64,969.11,768.22,894.61,431.82,573.81,818.99
Apr,1047.19,1101.58,859.89,923.88,425.04,715.96,987.28
Mar,926.78,1116.89,754.69,834.64,440.69,654.88,941.79
Feb,753.45,844.76,616.92,640.18,346.48,539.07,729.23
Jan,820.07,903.45,642.2,677.54,363.55,543.89,712.34
