Unnamed: 0,One person,Two persons,Three persons,Four persons,Five persons and more
2018,17333,13983,4923,3748,1390
2017,17263,13850,4972,3823,1397
2016*,16832,13915,5028,3807,1377
2015,16875,13956,4940,3679,1323
2014,16412,13837,4968,3672,1333
2013,16176,13748,4989,3688,1332
2012,15979,13665,4992,3739,1332
2011*,15867,13514,5001,3778,1350
2010,16195,13793,5089,3846,1378
2009,15995,13741,5139,3887,1427
2008,15791,13636,5247,3966,1437
2007,15385,13496,5309,4081,1450
2006,15447,13375,5357,4107,1479
2005*,14695,13266,5477,4213,1527
2004,14566,13335,5413,4218,1590
2003,14426,13169,5462,4268,1618
2002,14224,13059,5487,4315,1633
2001,14056,12904,5502,4346,1647
2000,13750,12720,5598,4391,1665
