Unnamed: 0,2 year fixed rate mortgages*,3 year fixed mortgage**,5 year fixed mortgage***,10 year fixed****,2 year variable*****
Mar '14,2.37%,2.97%,3.48%,-,2.68%
Jun '14,2.6%,3.01%,3.69%,-,2.71%
Sep '14,2.46%,2.94%,3.61%,4.06%,2.44%
Dec '14,2.08%,2.89%,3.21%,4%,1.6%
Mar '15,1.99%,2.63%,2.98%,3.47%,1.56%
Jun '15,1.83%,2.54%,2.82%,3.24%,1.66%
Sep '15,1.91%,2.4%,2.84%,3.35%,1.74%
Dec '15,1.9%,2.26%,2.75%,3.36%,1.78%
Mar '16,1.9%,2.14%,2.7%,3.19%,1.67%
Jun '16,1.75%,2.13%,2.54%,3.1%,1.62%
Sep '16,1.59%,1.92%,2.34%,2.84%,1.54%
Dec '16,1.45%,1.79%,2.26%,2.98%,1.48%
Mar '17,1.37%,1.68%,2.15%,2.8%,1.42%
Jun '17,1.48%,1.7%,1.99%,2.82%,1.42%
Sep '17,1.4%,1.6%,1.9%,2.72%,1.46%
Dec '17,1.57%,1.7%,2.07%,2.66%,1.69%
Mar '18,1.53%,1.77%,2.02%,2.76%,1.58%
Jun '18,1.74%,1.8%,2.03%,2.74%,1.56%
Sep '18,1.71%,1.81%,2.01%,2.68%,1.68%
Dec '18,1.73%,1.81%,2.01%,2.64%,1.7%
Mar '19,1.7%,1.8%,2.03%,2.56%,1.61%
Jun '19,1.64%,1.77%,1.97%,2.59%,1.6%
Sep '19,1.55%,1.66%,1.79%,2.58%,2.03%
Dec '19,1.45%,1.56%,1.69%,2.53%,1.94%
