Unnamed: 0,March 2016,March 2017,March 2018*
Wholesale & retail trade; repair of motor vehicles and motorcycles,5022,4998,4968
Human health & social work activities,4294,4359,4432
Professional scientific & technical activities,3006,3051,3050
Administrative & support service activities,2944,3000,3019
Education,2956,2934,2932
Manufacturing,2644,2648,2694
Accommodation & food service activities,2288,2397,2418
Construction,2230,2307,2290
Transport & storage,1690,1785,1786
Public admin & defence; compulsory social security*,1486,1468,1498
Information & communication,1398,1457,1482
Financial & insurance activities,1121,1124,1136
"Arts, entertainment & recreation",966,1008,1012
Other service activities,927,942,976
Real estate activities,555,580,569
"Agriculture, forestry & fishing",411,450,436
"Water supply, sewerage, waste & remediation activities",201,211,215
"Electricity, gas, steam & air conditioning supply",145,141,140
Mining & quarrying,65,61,68
Private households,71,67,61
