Unnamed: 0,Subscriptions,Marketing Solutions,Talent Solutions
Q3 '16,161.62,175.48,622.69
Q2 '16,155.0,181.0,597.0
Q1 '16,149.0,154.0,558.0
Q4 '15,144.0,183.0,535.0
Q3 '15,138.0,140.0,502.0
Q2 '15,128.0,140.0,443.0
Q1 '15,122.12,119.19,396.38
Q4 '14,121.36,152.73,369.35
Q3 '14,114.47,109.23,344.57
Q2 '14*,105.2,106.5,322.2
Q1 '14,95.5,86.1,291.6
Q4 '13,88.1,97.7,261.4
Q3 '13,79.8,75.5,237.7
Q2 '13,73.0,73.7,216.9
Q1 '13,65.6,64.8,194.3
Q4 '12*,59.4,74.7,169.5
Q3 '12,49.6,58.4,144.1
Q2 '12,43.5,58.3,126.4
Q1 '12,37.9,43.9,106.6
Q4 '11,33.3,49.5,84.9
Q3 '11,28.4,40.1,71.0
Q2 '11,23.9,38.6,58.6
Q1 '11,19.9,27.7,46.3
Q4 '10,17.8,27.9,36.0
Q3 '10,15.7,18.8,27.3
Q2 '10,14.9,18.3,21.7
Q1 '10,13.6,14.2,16.9
Q4 '09,12.5,14.5,12.4
Q3 '09,11.4,9.0,9.4
Q2 '09,10.9,8.7,8.1
Q1 '09,10.9,6.1,6.3
