Unnamed: 0,Spirits duties,Beer duties,Wines duties,Cider duties
2018/19,3779,3661,4392,279
2017/18*,3430,3460,4256,294
2016/17,3378,3320,4169,288
2015/16,3147,3271,3973,296
2014/15,3023,3310,3837,320
2013/14,3056,3346,3713,340
2012/13,2931,3426,3537,326
2011/12,2889,3463,3356,329
2010/11,2675,3296,3101,324
2009/10,2570,3182,2949,311
2008/09,2358,3127,2741,244
2007/08,2374,3067,2641,220
2006/07,2256,3072,2385,200
2005/06,2309,3076,2308,168
2004/05,2385,3101,2233,157
2003/04,2362,3044,2006,153
2002/03,2273,2935,1936,153
2001/02,1919,2899,1982,155
2000/01,1842,2850,1814,158
