Unnamed: 0,Not enough pressure,Right amount of pressure,Too much pressure,Don't know/refused
U.S.,64%,21%,11%,4%
Lithuania,55%,31%,7%,7%
Spain,52%,37%,8%,3%
Palestinian territories,49%,24%,20%,7%
Brazil,49%,31%,18%,2%
Israel,48%,31%,19%,3%
Ukraine,43%,36%,7%,14%
Mexico,42%,36%,20%,2%
Lebanon,39%,27%,33%,2%
Indonesia,39%,46%,13%,2%
Jordan,37%,31%,30%,1%
Russia,36%,38%,13%,14%
Britain,35%,40%,17%,9%
France,35%,40%,25%,0%
Turkey,35%,27%,30%,8%
Germany,33%,37%,28%,2%
Kenya,33%,24%,42%,1%
Poland,30%,36%,21%,12%
India,24%,21%,44%,10%
Pakistan,17%,34%,41%,8%
China,11%,14%,68%,7%
