Unnamed: 0,Germany,England,Spain,Italy,France
17/18,43.88,38.5,26.77,23.85,22.58
16/17,41.51,35.82,27.63,22.16,21.03
15/16,43.3,36.45,28.17,22.64,20.98
14/15,43.54,36.18,27.02,22.21,22.22
13/14,43.5,36.63,26.84,23.39,20.97
12/13,42.62,35.92,28.25,23.27,19.21
11/12,44.3,34.6,26.1,22.0,18.9
10/11,42.1,35.4,25.9,23.5,19.7
09/10,41.8,34.2,25.3,24.1,20.1
08/09,41.9,35.7,24.6,24.7,21.1
07/08,39.0,36.1,25.3,23.1,21.8
06/07,37.6,34.4,25.7,18.8,21.8
05/06,38.2,33.9,25.7,21.4,21.5
04/05,35.2,33.9,24.6,25.0,21.3
03/04,35.0,35.0,25.2,25.7,20.1
02/03,31.9,35.4,25.0,25.5,19.6
01/02,31.1,34.3,23.2,25.9,21.4
00/01,28.4,32.8,21.4,29.1,22.6
99/00,28.9,30.7,23.1,29.7,21.6
98/99,30.9,30.6,22.4,30.7,19.8
97/98,31.1,29.2,23.4,31.2,16.6
96/97,30.9,28.4,24.2,29.5,14.2
