Unnamed: 0,Male,Female
"Up to £15,000",30,10
"£15,001 - 20,000",21700,21350
"£20,001 - 25,000",34600,34730
"£25,001 - 30,000",37590,36120
"£30,001 - 35,000",33540,24050
"£35,001 - 40,000",17550,13270
"£40,001 - 45,000",8690,5850
"£45,001 - 50,000",6700,4860
"£50,001 - 55,000",8220,6270
"£55,001 - 60,000",5570,3540
"£60,001 - 65,000",3830,2630
"£65,001 - 70,000",2660,1750
"£70,001 - 75,000",1900,1230
"£75,001 - 100,000",2350,1420
"£100,001 - 125,000",480,230
"£125,001 - 150,000",210,110
"£150,001+",100,40
