Unnamed: 0,2017,2018
Spain,47.0,48.3
Croatia,33.3,40.2
Portugal,34.1,33.4
Belgium,30.5,29.9
France,29.7,28.8
Czechia,25.4,26.6
Estonia,13.8,25.4
Italy,28.9,24.7
Austria,24.5,24.5
United Kingdom,22.5,24.3
Slovenia,20.5,21.9
Finland,21.5,21.3
Norway,21.9,19.6
Sweden,19.4,19.1
Switzerland,17.1,18.6
Hungary,16.4,17.3
Denmark,18.1,17.2
Ireland,20.6,16.9
Netherlands,15.2,16.4
Lithuania,13.8,15.9
Slovakia,15.9,14.4
Poland,14.7,13.1
Latvia,12.6,12.6
Luxembourg,15.0,11.7
Germany,9.7,11.6
Greece,6.0,4.1
Romania,3.3,3.3
Bulgaria,6.1,2.3
Cyprus,8.3,1.7
