Unnamed: 0,2013,2014,2015,2016,2017,2018,2019
Dec,4490538,4634977,4848258,5579978,5884304,6830887,-
Nov,4255978,4386296,4807922,4947060,5350245,6182399,-
Oct,5530091,5835145,6398796,6842699,7519759,8578341,-
Sep**,5714152,6143974,6610844,-,7718714,8816427,-
Aug,6101344,6612075,7064931,7513592,8219017,8680840,-
Jul,5976704,6434284,7036470,7506939,8174606,8540193,-
Jun,5537275,6098364,6559802,6937601,7720090,7901285,-
May,5609351,6054249,6490974,6861040,7512545,7791278,-
Apr,5253610,5787833,6006371,6369877,7116731,7452647,-
Mar,4872934,5107676,5490337,5728114,6334753,6549703,7721347
Feb,4112186,4232325,4491425,4932212,5337949,5552255,6498267
Jan,3878640,4021678,4022253,4276821,4745630,5159860,5838198
