Unnamed: 0,Less than a high school diploma,"High school graduates, no college","Some college, no degree",Associate degree,Bachelor's degree and higher
'19,5.4%,3.7%,3.3%,2.7%,2.1%
'18,5.6%,4.1%,3.7%,2.8%,2.1%
'17,6.5%,4.6%,4%,3.4%,2.3%
'16,7.4%,5.2%,4.4%,3.6%,2.5%
'15,8%,5.4%,5%,3.8%,2.6%
'14,9%,6%,6%,4.5%,3.2%
'13,11%,7.5%,7%,5.4%,3.7%
'12,12.4%,8.3%,7.7%,6.2%,4%
'11,14.1%,9.4%,8.7%,6.8%,4.3%
'10,14.9%,10.3%,9.2%,7%,4.7%
'09,14.6%,9.7%,8.6%,6.8%,4.6%
'08,9%,5.7%,5.1%,3.7%,2.6%
'07,7.1%,4.4%,3.8%,3%,2%
'06,6.8%,4.3%,3.9%,3%,2%
'05,7.6%,4.7%,4.2%,3.3%,2.3%
'04,8.5%,5%,4.5%,3.7%,2.7%
'03,8.8%,5.5%,5.2%,4%,3.1%
'02,8.4%,5.3%,4.8%,4%,2.9%
'01,7.2%,4.2%,3.5%,2.9%,2.3%
'00,6.3%,3.4%,2.9%,2.3%,1.7%
'99,6.7%,3.5%,3%,2.5%,1.8%
'98,7.1%,4%,3.2%,2.5%,1.8%
'97,8.1%,4.3%,3.5%,2.7%,2%
'96,8.7%,4.7%,4%,3.3%,2.2%
'95,9%,4.8%,4.3%,3.3%,2.4%
'94,9.8%,5.4%,4.7%,3.8%,2.6%
'93,10.8%,6.3%,5.6%,4.4%,2.9%
'92,11.5%,6.8%,6%,4.8%,3.2%
