Year,Private institutions,Public institutions
2017-18,30282,7054
2016-17,28945,6818
2015-16,27436,6612
2014-15,26182,6370
2013-14,25110,6120
2012-13,23943,5899
2011-12,22850,5563
2010-11,22042,5075
2009-10,21764,4763
2008-09,21570,4512
2007-08,20972,4291
2006-07,20048,4102
2005-06,18862,3874
2004-05,18154,3629
2003-04,17315,3319
2002-03,16383,2903
2001-02,15742,2700
2000-01,15000,2562
1999-00,14100,2504
1998-99,13428,2430
1997-98,12801,2360
1996-97,12498,2271
1995-96,11864,2179
1994-95,11111,2057
1993-94,10572,1942
1992-93,9942,1782
1991-92,9419,1628
1990-91,8772,1454
1989-90,8147,1356
1988-89,7461,1285
1987-88,6988,1218
1986-87,6316,1106
1985-86,5789,1045
1984-85,5315,971
1983-84,4851,891
1982-83,4439,798
1981-82,3953,714
1980-81,3498,635
1979-80,3130,583
1978-79,2867,543
1977-78,2624,512
1976-77,2467,479
1975-76,2272,433
1974-75,2117,432
1973-74,1989,438
1972-73,1898,407
1971-72,1820,376
1970-71,1684,351
1969-70,1533,323
