Unnamed: 0,Combined,Facebook,Twitter,Instagram,YouTube
Flamengo,22.06,11.59,5.54,3.63,1.3
Corinthians,21.4,11.4,5.92,3.23,0.85
São Paulo,13.86,6.69,4.22,2.01,0.94
Palmeiras,10.19,4.38,3.03,1.69,1.09
Santos,7.77,3.54,2.74,0.81,0.68
Grêmio,7.34,3.07,2.67,1.19,0.41
Vasco,6.41,3.11,2.19,0.83,0.27
Cruzeiro,6.31,3.09,2.03,1.01,0.18
Atlético Minas Gerais,6.29,3.07,2.04,1.02,0.16
Chapecoense,5.85,3.94,0.64,1.24,0.03
Internacional*,4.71,2.44,1.52,0.75,-
Fluminense,3.23,1.45,1.23,0.43,0.13
Botafogo,3.12,1.38,1.25,0.36,0.13
Sport,3.11,1.07,1.55,0.41,0.08
Bahia,2.95,1.11,1.38,0.38,0.07
Atlético Paranaense,2.32,0.95,1.04,0.23,0.1
Vitória,1.82,0.45,1.12,0.22,0.02
Coritiba,1.53,0.42,0.94,0.11,0.06
Ceará,1.48,0.8,0.28,0.35,0.06
Fortaleza,1.45,0.81,0.22,0.34,0.08
