Unnamed: 0,Public,Private
Norway,1.8%,0.1%
Austria,1.6%,0.1%
Finland,1.5%,0.1%
Turkey,1.4%,0.5%
Sweden,1.4%,0.2%
Switzerland,1.3%,-
Canada,1.2%,1.1%
Belgium,1.2%,0.2%
Estonia,1.2%,0.2%
Netherlands,1.1%,0.5%
France,1.1%,0.3%
Argentina,1.1%,-
Iceland,1.1%,0.1%
Chile,1%,1.7%
Brazil,1%,-
Germany,1%,0.2%
Mexico,0.9%,0.4%
Poland,0.9%,0.2%
New Zealand,0.9%,0.9%
Australia,0.8%,1.2%
Israel,0.8%,0.6%
Slovenia,0.8%,0.1%
Colombia,0.8%,0.8%
Spain,0.8%,0.4%
Latvia,0.7%,0.3%
Korea,0.7%,1.1%
Slovak Republic,0.7%,0.3%
Czech Republic,0.7%,0.2%
Lithuania,0.7%,0.3%
Portugal,0.7%,0.4%
Russian Federation,0.7%,0.4%
Hungary,0.7%,0.4%
Greece,0.6%,-
Ireland,0.6%,0.2%
South Africa,0.6%,-
Italy,0.5%,0.3%
United Kingdom,0.5%,1.2%
Japan,0.4%,1%
Luxembourg,0.4%,0%
