Unnamed: 0,2014,2015,2016,2017,2018,2019
Kansas,199800,281600,268450,200900,233200,204000
Texas,137250,149450,115500,94500,62100,85400
South Dakota,9450,18260,15800,11560,16000,14000
Oklahoma,17360,21320,20350,15635,12000,13260
Colorado,8400,22000,20750,20520,17225,12710
Nebraska,13120,23040,17850,12015,15980,12090
Louisiana *,-,-,3212,1183,504,-
New Mexico *,8928,6290,4692,1680,1786,-
Mississippi*,-,-,-,-,270,-
North Carolina*,-,-,-,-,480,-
Georgia*,-,-,-,-,795,-
Arkansas*,-,-,-,-,770,-
Illinois *,16005,43120,3485,1245,1776,-
Missouri *,7373,13160,5130,2484,2100,-
