Unnamed: 0,Samsung,Apple,Huawei,OPPO,ZTE,vivo,itel mobile,LG,Nokia/hmd,TCL Alcatel,Xiaomi,Lenovo,HMD,Others
1Q '18,17%,11%,8%,5%,-,-,5%,-,-,-,6%,-,5%,43%
4Q '17,15%,14%,7%,5%,-,4%,-,-,4%,-,6%,-,-,45%
3Q '17,19%,9%,8%,6%,-,6%,4%,-,-,-,6%,-,-,42%
2Q '17,20%,9%,8%,6%,-,5%,4%,-,-,-,5%,-,-,43%
1Q '17,20%,11%,7%,6%,-,5%,4%,3%,-,-,-,-,-,44%
4Q '16,16.5%,14.3%,8.2%,5.7%,3.4%,4.3%,3.3%,-,-,-,-,-,-,44.3%
3Q '16,18%,9.2%,6.8%,5.2%,3.5%,4.4%,-,-,-,3.2%,-,-,-,49.7%
2Q '16,19.6%,8.8%,7%,5%,3.8%,3.6%,-,3.4%,-,-,-,-,-,48.8%
1Q '16,21%,12%,7%,-,3%,-,-,3%,4%,4%,-,-,-,46%
4Q '15,18%,14%,6%,-,-,-,-,3%,5%,4%,4%,-,-,46%
3Q '15,21%,10%,6%,3%,3%,-,-,3%,6%,4%,4%,2%,-,38%
2Q '15,19%,10%,7%,2%,4%,2%,-,4%,6%,4%,4%,2%,-,36%
1Q '15,22%,13%,4%,-,3%,-,-,4%,-,3%,3%,2%,-,46%
