Unnamed: 0,Number of prescribed fires,Number of acres burnt
Florida,86115,2182980
Georgia,83588,1255221
Alabama,13157,944455
Arizona,2321,429564
South Carolina,8895,342066
Arkansas,34624,214859
Mississippi,2498,211166
Texas,205,190451
North Carolina,1427,180558
New Mexico,91654,141663
Minnesota,593,71285
Alaska,8,64950
South Dakota,204,56001
California,428,49522
Oregon,271,48077
Missouri,57,41392
Wisconsin,391,31745
Iowa,419,26015
Montana,365,24180
Idaho,241,23815
Colorado,166,23145
Louisiana,181,22534
North Dakota,18272,19841
Michigan,175,19391
Nebraska,32,18643
Pennsylvania,222,18611
Utah,112,18517
Illinois,67,15817
Virginia,424,14238
Indiana,38,8064
Kansas,13,7292
Tennessee,36,6780
Oklahoma,21,6186
Washington,44,5216
Nevada,27,5198
Maryland,70,3751
Kentucky,23,3746
West Virginia,7,3094
Wyoming,34,2900
New Jersey,12,2703
Massachusetts,45,1023
New York,29,564
Ohio,70,308
Delaware,13,280
Maine,13,147
New Hampshire,10,120
Vermont,10,98
Connecticut,3,31
Rhode Island,1,13
Hawaii,0,0
