Unnamed: 0,Protestant,Catholic,Christian (non-specific),Jewish,Mormon,Other specific,None,Undesignated
2019,35%,22%,10%,2%,1%,6%,21%,3%
2018,35%,22%,10%,2%,2%,5%,20%,4%
2017,38%,21%,9%,2%,2%,5%,20%,4%
2016,38%,22%,10%,3%,2%,5%,18%,2%
2015,38%,23%,9%,2%,2%,6%,17%,4%
2014,37%,23%,10%,2%,2%,6%,16%,4%
2013,38%,23%,10%,2%,2%,5%,15%,4%
2012,41%,23%,10%,2%,2%,4%,14%,3%
2011,42%,23%,10%,2%,2%,5%,13%,3%
2010,45%,21%,8%,2%,2%,4%,14%,4%
2005,49%,23%,7%,2%,2%,5%,10%,2%
2000,52%,25%,5%,2%,2%,5%,8%,2%
1995,56%,27%,-,2%,1%,5%,6%,2%
1990,56%,25%,-,2%,1%,5%,9%,2%
1985,57%,28%,-,2%,2%,3%,8%,1%
1980,61%,28%,-,2%,-,2%,7%,0%
1975,60%,27%,-,2%,-,4%,6%,1%
1970,65%,26%,-,3%,-,2%,3%,0%
1965,69%,24%,-,3%,-,2%,2%,0%
1960,67%,25%,-,3%,-,2%,2%,1%
1955,70%,22%,-,4%,-,2%,2%,1%
1950,66%,25%,-,4%,-,3%,-,2%
1948,69%,22%,-,4%,-,0%,2%,3%
