Unnamed: 0,2017,2018
European Union - 28 countries,87%,89%
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",87%,89%
Belgium,86%,87%
Bulgaria,67%,72%
Czechia,83%,86%
Denmark,97%,93%
Germany (until 1990 former territory of the FRG),93%,94%
Estonia,88%,90%
Ireland,88%,89%
Greece,71%,76%
France,86%,89%
Croatia,76%,82%
Italy,81%,84%
Cyprus,79%,86%
Latvia,79%,82%
Lithuania,75%,78%
Luxembourg,97%,93%
Hungary,82%,83%
Malta,85%,84%
Netherlands,98%,98%
Austria,89%,89%
Poland,82%,84%
Portugal,77%,79%
Romania,76%,81%
Slovenia,82%,87%
Slovakia,81%,81%
Finland,94%,94%
Sweden,95%,93%
United Kingdom,94%,95%
Iceland,98%,99%
Norway,97%,96%
Montenegro,71%,72%
North Macedonia,74%,79%
Serbia,68%,73%
Turkey,81%,84%
