U.S. states,Number of homicide victims
California,232
Texas,221
Georgia,96
Pennsylvania,82
Ohio,78
New York,74
Virginia,73
Tennessee,69
Arizona,68
North Carolina,65
Louisiana,63
Michigan,58
South Carolina,52
Missouri,51
Illinois,49
Washington,42
New Jersey,41
Kentucky,40
Maryland,39
Indiana,38
Arkansas,34
Colorado,32
Nevada,30
Wisconsin,30
Oklahoma,28
Massachusetts,23
Mississippi,22
Oregon,21
Minnesota,21
Kansas,16
West Virginia,15
New Mexico,15
Connecticut,15
Alaska,14
Idaho,13
Iowa,12
Utah,12
Montana,10
Delaware,7
Nebraska,7
Hawaii,6
Vermont,6
South Dakota,6
Rhode Island,5
Maine,5
North Dakoda,4
New Hampshire,4
Wyoming,4
