Year,Life expectancy at birth in years
2017,78.83
2016,78.57
2015,78.29
2014,77.97
2013,77.64
2012,77.28
2011,76.93
2010,76.57
2009,76.21
2008,75.86
2007,75.51
2006,75.17
2005,74.85
2004,74.54
2003,74.24
2002,73.95
2001,73.67
2000,73.41
1999,73.14
1998,72.88
1997,72.62
1996,72.36
1995,72.1
1994,71.86
1993,71.63
1992,71.41
1991,71.2
1990,71.0
1989,70.82
1988,70.64
1987,70.45
1986,70.25
1985,70.02
1984,69.77
1983,69.47
1982,69.13
1981,68.74
1980,68.3
1979,67.8
1978,67.26
1977,66.66
1976,66.02
1975,65.32
1974,64.58
1973,63.8
1972,62.96
1971,62.02
1970,60.9
1969,59.48
1968,57.75
1967,55.73
1966,53.51
1965,51.26
1964,49.19
1963,47.49
1962,46.24
1961,45.5
1960,45.19
