Month,Index number of sales per week
Sep 19,140.0
Aug 19,136.8
Jul 19,138.8
Jun 19,139.3
May 19,140.3
Apr 19,132.8
Mar 19,134.7
Feb 19,126.7
Jan 19,124.8
Dec 18,129.6
Nov 18,132.5
Oct 18,131.2
Sep 18,133.0
Aug 18,135.8
Jul 18,137.5
Jun 18,112.8
May 18,124.1
Apr 18,118.7
Mar 18,111.5
Feb 18,116.8
Jan 18,120.2
Dec 17,114.3
Nov 17,128.1
Oct 17,115.7
Sep 17,118.8
Aug 17,118.6
Jul 17,117.0
Jun 17,114.4
May 17,113.3
Apr 17,116.5
Mar 17,115.2
Feb 17,118.3
Jan 17,114.8
Dec 16,107.9
Nov 16,104.0
Oct 16,107.3
Sep 16,101.2
Aug 16,100.3
Jul 16,99.6
Jun 16,104.1
May 16,97.2
Apr 16,97.7
Mar 16,92.5
Feb 16,95.3
Jan 16,91.6
