Month,Amounts outstanding in million GBP
Dec '19,82648
Nov '19,82820
Oct '19,82980
Sep '19,82933
Aug '19,82920
Jul '19,82806
Jun '19,82764
May '19,82649
Apr '19,82546
Mar '19,82536
Feb '19,82471
Jan '19,82318
Dec '18,82117
Nov '18,81945
Oct '18,81817
Sep '18,81812
Aug '18,81704
Jul '18,81698
Jun '18,81637
May '18,81561
Apr '18,81503
Mar '18,81345
Feb '18,81610
Jan '18,81804
Dec '17,81938
Nov '17,82069
Oct '17,82139
Sep '17,82114
Aug '17,82088
Jul '17,82132
Jun '17,82156
May '17,82170
Apr '17,82037
Mar '17,81627
Feb '17,81526
Jan '17,81210
