State,Number of signups
Florida,1783304
California,1513883
Texas,1087240
North Carolina,501271
Georgia,458437
Pennsylvania,365888
Virginia,328020
Illinois,312280
Massachusetts,300085
Michigan,274058
New York,271873
New Jersey,255246
Washington,222636
Tennessee,221533
Missouri,220461
South Carolina,214956
Ohio,206871
Wisconsin,205118
Utah,194570
Colorado,169672
Alabama,166128
Arizona,160456
Maryland,156963
Oklahoma,150759
Indiana,148404
Oregon,148180
Minnesota,123731
Connecticut,111066
Idaho,103154
Louisiana,92948
Kansas,89993
Mississippi,88542
Nebraska,87416
Kentucky,84620
Nevada,83449
Maine,70987
Arkansas,67413
Iowa,49210
Montana,45374
New Mexico,45001
New Hampshire,44581
Rhode Island,34533
South Dakota,29069
Vermont,25223
Wyoming,24852
West Virginia,22599
Delaware,22562
North Dakota,21820
District of Columbia,20894
Hawaii,20193
Alaska,17805
