City,"Murder rate per 100,000 inhabitants"
Tijuana - Mexico,138.26
Acapulco - Mexico,110.5
Caracas - Venezuela,99.98
Ciudad Victoria - Mexico,86.01
Ciudad Juarez - Mexico,85.56
Irapuato - Mexico,81.44
Ciudad Guayana - Venezuela,78.3
Natal - Brazil,74.67
Fortaleza - Brazil,69.15
Ciudad Bolivar - Venezuela,69.09
Cape Town - South Africa,66.36
Belem - Brazil,65.31
Cancun - Mexico,64.46
Feira de Santana - Brazil,63.29
"St. Louis, Missouri - U.S.",60.59
Culiacan - Mexico,60.52
Barquisimeto - Venezuela,56.67
Uruapan - Mexico,54.52
Kingston - Jamaica,54.12
Ciudad Obregón - Mexico,52.09
Maceio - Brazil,51.46
Vitoria da Conquista - Brazil,50.75
"Baltimore, Maryland - U.S.",50.52
San Salvador - El Salvador,50.32
Aracaju - Brazil,48.77
Coatzacoalcos - Mexico,48.35
Palmira - Colombia,47.97
Maturin - Venezuela,47.24
Salvador - Brazil,47.23
Macapa - Brazil,47.2
Cali - Colombia,47.03
Celaya - Mexico,46.99
San Pedro Sula - Honduras,46.67
Ensenada - Mexico,46.6
Campos dos Goytacazes - Brazil,46.28
Tepic - Mexico,44.89
Manaus - Brazil,44.0
Guatemala City - Guatemala,43.73
Recife - Brazil,43.72
Distrito Central - Honduras,43.3
San Juan - Puerto Rico,42.4
Valencia - Venezuela,42.36
Reynosa - Mexico,41.48
João Pessoa - Brazil,41.36
Nelson Mandela Bay - South Africa,39.16
"Detroit, Michigan - U.S.",38.78
Durban - South Africa,38.51
Teresina - Brazil,37.61
Chihuahua - Mexico,37.5
"New Orleans, Louisiana - U.S.",36.87
