State,Number of FQHCs
Alabama,15
Alaska,27
Arizona,21
Arkansas,12
California,177
Colorado,20
Connecticut,16
Delaware,3
District of Columbia,8
Florida,47
Georgia,35
Hawaii,14
Idaho,14
Illinois,45
Indiana,25
Iowa,14
Kansas,18
Kentucky,24
Louisiana,34
Maine,18
Maryland,17
Massachusetts,39
Michigan,38
Minnesota,16
Mississippi,20
Missouri,29
Montana,17
Nebraska,7
Nevada,7
New Hampshire,11
New Jersey,23
New Mexico,17
New York,65
North Carolina,40
North Dakota,4
Ohio,48
Oklahoma,20
Oregon,30
Pennsylvania,43
Rhode Island,8
South Carolina,23
South Dakota,4
Tennessee,29
Texas,73
Utah,13
Vermont,11
Virginia,26
Washington,27
West Virginia,27
Wisconsin,17
Wyoming,6
