Brand/Segment,Percent sales change
Neutrogena/ makeup remover implements,23.7%
CoverGirl Last Blast/ mascara,-14.1%
Revlon Super Lustrous/ lipstick,9.9%
L'Oréal Voluminous/ mascara,2.9%
Maybelline Volum'Express Falsies/ mascara,-17.2%
CoverGirl Clean/ powder,-2.4%
Revlon ColorStay/ foundation,9.9%
Maybelline Great Lash/ mascara,-9.6%
CoverGirl Outlast/ lipstick,2%
CoverGirl Clean/ foundation,-3.3%
Revlon ColorStay/ eyeliner,-6.5%
L'Oréal True Match/ foundation,-0.6%
L'Oréal Colour Riche/ lipstick,-2.8%
CoverGirl Perfect Point Plus/ eyeliner,-0.4%
Maybelline Volum'Express Colossal/ mascara,5.4%
Maybelline Color Sensational/ lipstick,14.9%
L'Oréal True Match/ powder,5.4%
Maybelline Expert Wear/ eyeshadow,-7.5%
Maybelline Volum'Express Rocket/ mascara,144%
CoverGirl Eye Enhancers/ eyeshadow,-8.7%
