State,Population in thousands
California,15540
Texas,11369
Florida,5562
New York,3753
Arizona,2266
Illinois,2209
New Jersey,1839
Colorado,1235
New Mexico,1029
Georgia,1022
North Carolina,996
Pennsylvania,975
Washington,970
Nevada,881
Massachusetts,847
Virginia,813
Maryland,628
Connecticut,590
Oregon,556
Michigan,517
Indiana,472
Ohio,456
Utah,450
Oklahoma,429
Wisconsin,404
Tennessee,373
Kansas,348
Minnesota,308
South Carolina,295
Missouri,253
Louisiana,240
Arkansas,230
Idaho,222
Nebraska,214
Alabama,211
Iowa,191
Rhode Island,168
Kentucky,162
Hawaii,151
Delaware,92
Mississippi,87
District of Columbia,79
Wyoming,58
New Hampshire,53
Alaska,53
Montana,42
South Dakota,34
North Dakota,27
West Virginia,26
Maine,22
Vermont,12
