State,Number of households in millions
California,13.07
Texas,9.78
Florida,7.81
New York,7.37
Pennsylvania,5.07
Illinois,4.86
Ohio,4.68
North Carolina,4.01
Michigan,3.96
Georgia,3.8
New Jersey,3.25
Virginia,3.18
Washington,2.9
Massachusetts,2.62
Arizona,2.61
Indiana,2.6
Tennessee,2.6
Missouri,2.43
Wisconsin,2.37
Maryland,2.22
Minnesota,2.19
Colorado,2.18
South Carolina,1.93
Alabama,1.86
Louisiana,1.74
Kentucky,1.73
Oregon,1.64
Oklahoma,1.49
Connecticut,1.38
Iowa,1.27
Arkansas,1.16
Nevada,1.13
Kansas,1.13
Mississippi,1.11
Utah,1.0
New Mexico,0.79
Nebraska,0.77
West Virginia,0.73
Idaho,0.64
Maine,0.57
New Hampshire,0.53
Hawaii,0.46
Montana,0.43
Rhode Island,0.41
Delaware,0.37
South Dakota,0.35
North Dakota,0.32
District of Columbia,0.29
Vermont,0.26
Alaska,0.25
Wyoming,0.23
