Year,Gross domestic product in billion U.S. dollars
2024*,669.68
2023*,632.46
2022*,598.91
2021*,567.67
2020*,540.79
2019*,528.93
2018,556.07
2017,540.55
2016,515.74
2015,503.65
2014,580.25
2013,579.36
2012,544.48
2011,563.8
2010,488.91
2009,430.11
2008,514.59
2007,488.4
2006,420.54
2005,389.49
2004,382.15
2003,331.53
2002,264.35
2001,240.28
2000,260.16
1999,271.18
1998,267.23
1997,264.83
1996,288.46
1995,264.35
1994,226.34
1993,210.19
1992,279.38
1991,268.62
1990,255.94
1989,213.05
1988,202.61
1987,179.07
1986,147.3
1985,111.54
1984,106.62
