Museum,Attendance in thousands
"Louvre, Paris",10200
"Vatican Museums, Vatican",6756
"British Museum, London",5869
"Tate Modern, London",5829
"National Gallery, London",5736
"Natural History Museum, London",5226
"State Hermitage, St Petersburg",4294
"Victoria and Albert Museum, London",3968
"Reina Sofia, Madrid",3898
"Centre Pompidou, Paris",3552
"Science Museum (South Kensington), London",3286
"Musée D'Orsay, Paris",3175
"Museo Nacional Del Prado, Madrid",2893
"Galleria Degli Uffizi, Florence",2330
"Rijksmuseum, Amsterdam",2300
"Cité des Sciences et de l'Industrie, Paris",2231
"National Museum of Scotland, Edinburgh",2228
"Van Gogh Museum, Amsterdam",2206
"Auschwitz-Birkenau Museum, Oświęcim",2152
"State Tretyakov Gallery, Moscow",2149
