Year,Inflation rate compared to previous year
2024*,2.55%
2023*,2.55%
2022*,2.55%
2021*,2.89%
2020*,3.27%
2019*,4.17%
2018,4.63%
2017,1.34%
2016,-1.56%
2015,-0.6%
2014,1.08%
2013,4%
2012,3.34%
2011,5.8%
2010,6.11%
2009,5.58%
2008,7.85%
2007,4.83%
2006,6.59%
2005,9%
2004,11.86%
2003,15.37%
2002,22.5%
2001,34.45%
2000,45.67%
1999,45.8%
1998,59.1%
1997,154.76%
1996,38.81%
1995,32.27%
1994,136.74%
1993,256.11%
1992,210.39%
1991,161.12%
1990,127.9%
1989,0.9%
1988,2.6%
1987,1.1%
1986,0.7%
1985,-0.2%
1984,-0.32%
