Month,Units sold
Dec 19,2796
Nov 19,2712
Oct 19,2229
Sep 19,5535
Aug 19,2592
Jul 19,2970
Jun 19,3854
May 19,2828
Apr 19,2912
Mar 19,10043
Feb 19,1742
Jan 19,3700
Dec 18,2653
Nov 18,2970
Oct 18,2771
Sep 18,7271
Aug 18,3612
Jul 18,3636
Jun 18,4606
May 18,3825
Apr 18,3089
Mar 18,11896
Feb 18,1959
Jan 18,4282
Dec 17,2632
Nov 17,3523
Oct 17,2962
Sep 17,9831
Aug 17,1886
Jul 17,3840
Jun 17,5043
May 17,3397
Apr 17,3016
Mar 17,11635
Feb 17,2126
Jan 17,4010
Dec 16,3294
Nov 16,3373
Oct 16,2783
Sep 16,11495
Aug 16,1826
Jul 16,3886
