Country,Population density in inhabitants per square km
Monaco,26150.3
"China, Macao SAR",21419.6
Singapore,8291.9
"China, Hong Kong SAR",7082.1
Gibraltar,3370.1
Bahrain,2159.4
Holy See,1815.9
Maldives,1769.8
Malta,1376.2
Bangladesh,1252.6
Bermuda,1250.1
Sint Maarten (Dutch part),1246.7
Channel Islands,906.6
State of Palestine,827.5
Saint-Martin (French part),717.0
Mayotte,709.7
"China, Taiwan Province of China",671.4
Lebanon,670.2
Barbados,667.5
Mauritius,625.5
Aruba,590.6
San Marino,564.3
Nauru,537.8
Republic of Korea,526.8
Rwanda,511.8
Netherlands,507.0
India,459.6
Comoros,457.2
Burundi,449.0
Saint-Barthelemy,447.6
Haiti,408.7
Israel,393.7
Tuvalu,388.2
Belgium,381.1
Curacao,368.1
Philippines,362.6
Reunion,355.6
Martinique,354.3
Japan,348.0
Sri Lanka,340.0
Puerto Rico,330.7
Grenada,329.4
Marshall Islands,326.6
El Salvador,311.5
Viet Nam,311.1
Guam,309.8
Saint Lucia,299.7
United States Virgin Islands,298.8
Saint Vincent and the Grenadines,283.6
Pakistan,280.9
