Club Name,Average attendance
Boussia Dortmund,80295
Manchester United,75205
Barcelona,72115
Real Madrid,71565
Bayern Munich,71000
Schalke 04,61750
Arsenal,60015
Borussia Mönchengladbach,52240
Hertha BSC,51890
Hamburger SV,51825
Ajax Amsterdam,50905
VfB Stuttgart,50500
Newcastle United,50395
Manchester City,47075
Eintracht Frankfurt,47055
Celtic FC,46810
FC Internazionale,46245
Atletico Madrid,46245
FC Köln,46235
Feyenoord,45755
Hannover 96,45635
Paris Saint Germain,45420
Liverpool,44670
SL Benfica,43615
Rangers FC,42935
