Year,GDP per capita in U.S. dollars
2024,2681.52
2023,2574.2
2022,2472.87
2021,2385.78
2020,2266.41
2019,2223.42
2018,2216.84
2017,2037.95
2016,1941.46
2015,1753.85
2014,1962.66
2013,2389.77
2012,2184.39
2011,2123.65
2010,1745.54
2009,1462.8
2008,1677.37
2007,1516.05
2006,1315.81
2005,1147.6
2004,970.46
2003,858.79
2002,714.16
2001,630.33
2000,606.32
1999,1011.73
1998,1001.88
1997,945.09
1996,948.53
1995,914.59
1994,792.68
1993,883.34
1992,1114.47
1991,1154.35
1990,1056.15
1989,935.96
1988,941.73
1987,906.97
1986,1106.5
1985,1223.25
1984,1409.55
