Major League Baseball Player,Average player age in years
Washington Nationals,30.1
Oakland Athletics,29.9
Houston Astros,29.8
Chicago Cubs,29.5
Atlanta Braves,29.5
New York Yankees,29.5
Milwaukee Brewers,29.3
San Francisco Giants,29.0
New York Mets,29.0
St. Louis Cardinals,28.6
Minnesota Twins,28.4
Tampa Bay Rays,28.3
Boston Red Sox,28.3
Chicago White Sox,28.3
Los Angeles Dodgers,28.2
Seattle Mariners,27.8
Miami Marlins,27.8
Cleveland Indians,27.7
Texas Rangers,27.7
Los Angeles Angels,27.7
Colorado Rockies,27.5
Pittsburgh Pirates,27.4
Cincinnati Reds,27.3
Philadelphia Phillies,27.3
Kansas City Royals,27.1
Arizona Diamondbacks,27.0
Toronto Blue Jays,26.8
Detroit Tigers,26.5
San Diego Padres,26.0
Baltimore Orioles,25.7
