Year,Inflation rate compared to previous year
2024*,2.43%
2023*,2.43%
2022*,2.43%
2021*,2.42%
2020*,2.59%
2019*,3.09%
2018,6.07%
2017,4.48%
2016,-0.82%
2015,-3.7%
2014,1.8%
2013,4.82%
2012,6.58%
2011,4.97%
2010,3.98%
2009,0.79%
2008,10.7%
2007,4.06%
2006,4.09%
2005,-1.43%
2004,1.67%
2003,1.27%
2002,1.76%
2001,-0.37%
2000,-0.36%
1999,0.24%
1998,4.55%
1997,7.75%
1996,8.88%
1995,10.28%
1994,8.24%
1993,24.74%
1992,99.85%
1991,50.12%
1990,68.9%
1989,72.2%
1988,155%
1987,487.2%
1986,95.4%
1985,69.4%
1984,17.6%
