Month,Number of golf courses
Troon Golf,270.0
ClubCorp,200.0
Pacific Golf Management,165.5
"Accordia Golf Co., Ltd.",158.6
Billy Casper Golf,150.5
KemperSports,134.0
Blue Green Groupe Saur,91.0
American Golf Corp.,76.0
Arcis,65.5
GreatLife Golf & Fitness,63.0
OB Sports,63.0
Marriott Golf,55.0
ClubLink,53.5
Landscapes Management Co.,50.5
NGF Golf,43.0
Century Golf Partners / Arnold Palmers Golf Management,42.0
Touchstone Golf,37.5
Crown Golf,32.0
Lindsey Management Co.,30.5
Brown Golf Management,29.0
"CourseCo, Inc",29.0
GolfNorth,29.0
Sunbelt Golf Corp.,26.0
Trump Golf,25.5
IMG,23.0
