Year,Gross domestic product in billion U.S. dollars
2024*,68.13
2023*,62.91
2022*,58.06
2021*,53.1
2020*,48.35
2019*,44.44
2018*,43.05
2017*,38.13
2016,35.3
2015,33.13
2014,35.32
2013,31.26
2012,26.79
2011,25.67
2010,24.89
2009,24.28
2008,24.23
2007,20.34
2006,17.8
2005,17.09
2004,16.55
2003,15.31
2002,12.35
2001,11.19
2000,10.72
1999,12.38
1998,12.61
1997,11.72
1996,12.14
1995,11.0
1994,8.31
1993,11.05
1992,11.15
1991,10.49
1990,10.8
1989,9.76
1988,10.2
1987,10.09
1986,9.17
1985,6.85
1984,6.72
