Company,Percentage dividend yield
Mediaset,8.46%
Ence,6.7%
Repsol,6.54%
Endesa,6.27%
Enagas,6.25%
Sabadell,5.9%
IAG (Iberia),5.85%
Mapfre,5.84%
Caixabank,5.79%
Acerinox,5.77%
Telefónica,5.55%
Santander,5.47%
BBVA,5.37%
Bankia,5.34%
REE,5.33%
Naturgy,5.13%
ACS,5.07%
Bankinter,4.73%
AENA,4.42%
Iberdrola,4.38%
Merlin Prop,4.3%
Inditex,4.17%
Técnicas Reunidas,3.82%
Accciona,3.72%
Viscofan,3.32%
Ferrovial,3.17%
CIE Automotive,2.8%
Immobiliaria Colonial,2.22%
Melia Hotels INTL,2.09%
Amadeus,1.82%
Grifols,1.63%
Indra,1.31%
Siemens Gamesa,0.7%
Cellnex Telecom,0.36%
Arcelormittal,0%
