Country,"Incarceration rate per 100,000 of national population"
United States,655
Turkey,318
Israel,234
Chile,231
New Zealand,214
Czech Republic,203
Poland,196
Estonia,194
Slovakia,190
Hungary,173
Australia,172
Mexico,163
United Kingdom: Scotland,150
United Kingdom:  England & Wales,139
Portugal,127
Spain,127
Canada,114
South Korea,109
Luxembourg,107
France,104
Italy,100
Greece,99
Austria,98
Belgium,88
Switzerland,81
Ireland,81
Germany,77
United Kingdom: Northern Ireland,76
Slovenia,64
Norway,63
Denmark,63
Netherlands,61
Sweden,59
Finland,51
Japan,41
Iceland,37
