State,Number of thefts
California,7035
Florida,4279
Texas,3073
New York,1777
South Carolina,1743
North Carolina,1466
Indiana,1229
Missouri,1194
Georgia,1174
Colorado,1109
Washington,962
Pennsylvania,960
Arizona,907
Massachusetts,862
Tennessee,807
Virginia,806
Maryland,789
Nevada,779
Michigan,762
Ohio,707
Oregon,693
Arkansas,692
Kentucky,619
New Jersey,569
Oklahoma,562
Illinois,562
Louisiana,554
Alabama,526
Kansas,521
Connecticut,422
New Mexico,395
Iowa,351
Utah,333
Minnesota,301
Wisconsin,230
District Of Columbia,229
Hawaii,224
Mississippi,200
West Virginia,194
Rhode Island,149
Idaho,142
Nebraska,141
Montana,126
Delaware,118
North Dakota,86
Alaska,78
New Hampshire,66
South Dakota,58
Wyoming,53
Maine,38
Vermont,22
