Year,Inflation rate compared to previous year
2024*,3.99%
2023*,4.16%
2022*,4.62%
2021*,5.22%
2020*,5.44%
2019*,6.63%
2018*,7.31%
2017*,5.31%
2016,3.63%
2015,4.44%
2014,4.63%
2013,5.81%
2012,5.14%
2011,3.55%
2010,5.81%
2009,3.54%
2008,4.92%
2007,3.42%
2006,4.14%
2005,1.96%
2004,3.69%
2003,2.72%
2002,2.71%
2001,1.95%
2000,2.77%
1999,2.77%
1998,3.1%
1997,3.6%
1996,3.73%
1995,6.23%
1994,5.42%
1993,4.04%
1992,5.52%
1991,7.69%
1990,6.5%
1989,7.72%
1988,7.16%
1987,8.22%
1986,6.16%
1985,7.55%
1984,8.6%
