Country,Number of skiers in thousands
Germany,14607
France,8574
United Kingdom,6340
Poland,4990
Italy,4919
Russia,4275
Austria,2960
Switzerland,2959
Spain,2369
Czech Republic,2236
Sweden,1824
Finland,1264
Belgium,1253
Norway,1181
Ukraine,1114
Slovakia,988
Turkey,807
Denmark,667
Romania,654
Hungary,547
Bulgaria,349
Slovenia,299
Kazakhstan,266
Latvia,218
Serbia,217
Portugal,216
Greece,215
Bosnia and Herzegovina,194
Belarus,193
Lithuania,176
Macedonia,157
Georgia,114
Croatia,90
Azerbaijan,72
Iceland,63
Estonia,63
Armenia,59
Albania,30
Andorra,17
Liechtenstein,14
