Year,Gross domestic product in billion U.S. dollars
2024*,432.3
2023*,412.52
2022*,393.85
2021*,376.57
2020*,360.51
2019*,347.18
2018,352.06
2017,329.87
2016,311.99
2015,302.67
2014,352.99
2013,343.58
2012,327.15
2011,344.0
2010,322.0
2009,321.24
2008,353.36
2007,319.42
2006,282.89
2005,264.47
2004,251.38
2003,218.1
2002,178.64
2001,164.79
2000,164.16
1999,177.96
1998,176.99
1997,173.54
1996,187.63
1995,185.01
1994,156.16
1993,143.2
1992,152.92
1991,139.23
1990,138.25
1989,112.41
1988,115.55
1987,109.41
1986,88.08
1985,62.66
1984,59.11
