Month,Exchange rate
Jan '20,70.34
Dec '19,69.96
Nov '19,70.55
Oct '19,71.36
Sep '19,70.76
Aug '19,73.41
Jul '19,70.8
Jun '19,71.6
May '19,72.91
Apr '19,72.21
Mar '19,72.86
Feb '19,75.09
Jan '19,75.11
Dec '18,79.72
Nov '18,76.07
Oct '18,74.41
Sep '18,76.14
Aug '18,79.1
Jul '18,73.21
Jun '18,73.16
May '18,72.58
Apr '18,75.96
Mar '18,70.89
Feb '18,68.75
Jan '18,70.07
Dec '17,69.39
Nov '17,69.19
Oct '17,67.87
Sep '17,68.25
Aug '17,69.12
Jul '17,70.46
Jun '17,67.54
May '17,63.71
Apr '17,62.11
Mar '17,60.31
Feb '17,61.76
Jan '17,64.43
Dec '16,65.38
Nov '16,69.53
Oct '16,69.01
Sep '16,72.24
Aug '16,72.8
Jul '16,71.24
Jun '16,73.15
May '16,74.47
Apr '16,75.43
Mar '16,77.94
Feb '16,85.62
Jan '16,83.86
Dec '15,80.67
Nov '15,69.99
Oct '15,70.57
Sep '15,73.24
Aug '15,74.86
Jul '15,66.86
Jun '15,62.36
May '15,57.46
Apr '15,57.65
Mar '15,62.44
Feb '15,69.2
Jan '15,79.93
Dec '14,72.34
Nov '14,61.35
Oct '14,53.86
Sep '14,49.77
Aug '14,48.74
Jul '14,47.52
Jun '14,46.38
May '14,47.31
Apr '14,49.46
Mar '14,48.78
Feb '14,49.94
Jan '14,47.75
