Twitter Post,Number of retweets
"Carter Wilkerson - ""HELPMEPLEASE. A MAN NEEDS HIS NUGGS""",3637285
"Barack Obama - ""No one is born hating another person because of the color of his skin or his background or his religion...""",1711385
Penn State IFC - pleding support to Houston flood victims for RT,1167328
"Ariana Grande - ""broken. from the bottom of my heart, i am so so sorry. i don't have words.""",1122740
"Barack Obama - ""I'm asking you to believe—not in my ability to create change, but in yours.""",871074
Linking Park - photo post of Chester Bennington (died July 2017),787340
"LeBron James - ""Going to White House was a great honor until you showed up!""",660396
"Barack Obama - ""It's been the honor of my life to serve you. You made me a better leader and a better man.""",630584
Sam Martin - dog food donations for RT,623412
Seth Joseph - Suicide Hotline,604298
