State,Number of licensed drivers
California,27039400
Texas,17370383
Florida,15368695
New York,12194360
Pennsylvania,8991370
Illinois,8714788
Ohio,8032665
North Carolina,7509231
Georgia,7168733
Michigan,7153645
New Jersey,6342876
Virginia,5929031
Washington,5909967
Tennessee,5422429
Arizona,5284970
Massachusetts,4935176
Indiana,4589405
Maryland,4407973
Wisconsin,4288171
Missouri,4272960
Colorado,4244713
Alabama,3999057
South Carolina,3846069
Louisiana,3425435
Minnesota,3391057
Kentucky,3032530
Oregon,2930702
Connecticut,2605612
Oklahoma,2504253
Iowa,2260271
Kansas,2149430
Arkansas,2145334
Mississippi,2058036
Utah,2030644
Nevada,1983453
New Mexico,1458433
Nebraska,1420317
Idaho,1252535
New Hampshire,1161665
West Virginia,1136775
Maine,1040582
Hawaii*,948417
Montana,806204
Delaware,786504
Rhode Island,756966
South Dakota,638428
Vermont,564892
North Dakota,561333
Alaska*,536033
Dist. of Col.,527731
Wyoming,419256
