Year,GDP per capita in U.S. dollars
2024*,3952.1
2023*,3664.17
2022*,3406.14
2021*,3171.51
2020*,2954.64
2019*,2739.82
2018*,2551.12
2017*,2353.36
2016,2172.01
2015,2085.71
2014,2047.43
2013,1898.9
2012,1750.76
2011,1532.31
2010,1297.23
2009,1181.45
2008,1154.49
2007,920.46
2006,796.93
2005,699.68
2004,603.67
2003,489.03
2002,440.21
2001,413.34
2000,401.57
1999,374.72
1998,360.93
1997,361.91
1996,337.52
1995,288.87
1994,230.31
1993,189.26
1992,144.15
1991,113.65
1990,98.03
1989,97.16
1988,365.89
1987,674.88
1986,556.02
1985,251.2
1984,822.55
