Nba Team,Franchise value in million U.S. dollars
New York Knicks,4600
Los Angeles Lakers,4400
Golden State Warriors,4300
Chicago Bulls,3200
Boston Celtics,3100
Los Angeles Clippers,2600
Brooklyn Nets,2500
Houston Rockets,2475
Dallas Mavericks,2400
Toronto Raptors,2100
Philadelphia 76ers,2000
Miami Heat,1950
Portland Trail Blazers,1850
San Antonio Spurs,1800
Sacramento Kings,1775
Washington Wizards,1750
Phoenix Suns,1625
Denver Nuggets,1600
Milwaukee Bucks,1580
Oklahoma City Thunder,1575
Utah Jazz,1550
Indiana Pacers,1525
Atlanta Hawks,1520
Cleveland Cavaliers,1510
Charlotte Hornets,1500
Detroit Pistons,1450
Orlando Magic,1430
Minnesota Timberwolves,1375
New Orleans Pelicans,1350
Memphis Grizzlies,1300
