Country,Index from 0 (no impact of terrorism) to 10 (highest impact of terrorism)
Afghanistan,9.6
Iraq,9.24
Nigeria,8.6
Syria,8.01
Pakistan,7.89
Somalia,7.8
India,7.52
Yemen,7.26
Philippines,7.14
Democratic Republic of the Congo,7.04
Egypt,6.79
Libya,6.77
Mali,6.65
Central African Republic,6.62
Cameroon,6.62
Turkey,6.53
South Sudan,6.32
Thailand,6.03
Colombia,5.91
Sudan,5.81
Kenya,5.76
United States of America,5.69
Niger,5.6
Ukraine,5.55
Mozambique,5.54
Myanmar,5.51
Burkina Faso,5.42
United Kingdom,5.41
Ethiopia,5.35
Saudi Arabia,5.24
Bangladesh,5.21
Palestine,5.18
Burundi,5.1
Nepal,5.09
Indonesia,5.07
France,5.01
Russia,4.9
Chad,4.76
Iran,4.72
Israel,4.53
South Africa,4.51
China,4.47
Lebanon,4.39
Germany,4.25
Greece,4.17
Chile,4.12
Venezuela,4.1
Mexico,4.08
Uganda,3.96
Tajikistan,3.95
