Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,90.86
"Finance, insurance, real estate, rental, and leasing",89.44
Professional and business services,64.09
Government and government enterprises,63.7
"Educational services, health care, and social assistance",41.07
Wholesale trade,30.4
Retail trade,27.94
Information,21.69
"Arts, entertainment, recreation, accommodation, and food services",17.63
Construction,16.67
Transportation and warehousing,11.4
Utilities,7.77
"Agriculture, forestry, fishing, and hunting",5.51
"Mining, quarrying, and oil and gas extraction",0.61
