Year,Number of households in millions
2019,128.58
2018,127.59
2017,126.22
2016,125.82
2015,124.59
2014,123.23
2013,122.46
2012,121.08
2011,118.68
2010,117.54
2009,117.18
2008,116.78
2007,116.01
2006,114.38
2005,113.34
2004,112.0
2003,111.28
2002,109.3
2001,108.21
2000,104.71
1999,103.87
1998,102.53
1997,101.02
1996,99.63
1995,98.99
1994,97.11
1993,96.39
1992,95.67
1991,94.31
1990,93.35
1989,92.83
1988,91.07
1987,89.48
1986,88.46
1985,86.79
1984,85.41
1983,83.92
1982,83.53
1981,82.37
1980,80.78
1979,77.33
1978,76.03
1977,74.14
1976,72.87
1975,71.12
1974,69.86
1973,68.25
1972,66.68
1971,64.78
1970,63.4
1960,52.8
