County,Change in population
"Williams County, North Dakota",57.8%
"Hays County, Texas",41.7%
"Wasatch County, Utah",41.3%
"Sumter County, Florida",37.8%
"Osceola County, Florida",37%
"Comal County, Texas",36.8%
"Kendall County, Texas",36.6%
"Dallas County, Iowa",36.4%
"Forsyth County, Georgia",34.8%
"Fort Bend County, Texas",34.7%
"Williamson County, Texas",34.1%
"St. Johns County, Florida",33.8%
"Long County, Georgia",32.6%
"Lincoln County, South Dakota",31.2%
"Loudoun County, Virginia",30.3%
"St. Bernard Parish, Louisiana",30.2%
"Walton County, Florida",29.7%
"Montgomery County, Texas",29.7%
"Denton County, Texas",29.7%
"Rockwall County, Texas",28.5%
"Collin County, Texas",28.5%
"Stark County, North Dakota",28.1%
"Horry County, South Carolina",27.9%
"Brunswick County, North Carolina",27.3%
"Williamson County, Tennessee",26.4%
