Year,GDP per capita in U.S. dollars
2024*,84994.94
2023*,83077.62
2022*,81395.03
2021*,79878.62
2020*,78333.22
2019*,77975.43
2018*,81549.98
2017,75306.64
2016,70223.84
2015,74115.18
2014,96657.58
2013,102722.0
2012,101273.38
2011,100307.39
2010,87432.38
2009,79836.11
2008,96626.3
2007,84946.46
2006,73936.76
2005,66652.74
2004,57478.74
2003,20023.11
2002,42974.68
2001,38501.58
2000,38063.12
1999,36278.68
1998,34717.45
1997,36560.86
1996,37224.69
1995,34789.46
1994,29236.41
1993,27880.63
1992,30432.93
1991,28514.5
1990,28187.22
1989,24245.45
1988,24143.16
1987,22445.07
1986,18853.07
1985,15728.22
1984,14968.79
