Player Name,Points scored
"Kevin Bradshaw (Alliant Int'l vs. Loyola Marymount, 1991)",72
"Pete Maravich (LSU vs. Alabama, 1970)",69
"Calvin Murphy (Niagara vs. Syracuse, 1968)",68
"Jay Handlan (Wash. & Lee vs. Furman, 1951)",66
"Pete Maravich (LSU vs. Tulane, 1969)",66
"Anthony Roberts (Oral Roberts vs. N.C. A&T, 1977)",66
"Anthony Roberts (Oral Roberts vs. Oregon, 1977)",65
"Scott Haffner (Evansville vs. Dayton, 1989)",65
"Pete Maravich (LSU vs. Kentucky, 1970)",64
"Johnny Neumann (Ole Miss vs. LSU, 1971)",63
"Hersey Hawkins (Bradley vs. Detroit, 1988)",63
