State,"Larceny theft rate per 100,000 inhabitants"
District of Columbia,3750.1
Louisiana,2360.4
Alaska,2219.0
New Mexico,2166.1
South Carolina,2156.0
Oregon,2109.9
Hawaii,2076.2
Washington,2045.4
Arkansas,2040.2
Tennessee,2034.1
Arizona,1970.3
Alabama,1958.9
Kansas,1933.9
Montana,1926.5
Colorado,1915.9
Georgia,1907.0
Missouri,1878.8
Oklahoma,1856.8
Delaware,1845.3
Utah,1817.7
Florida,1750.8
North Carolina,1724.4
Texas,1713.1
Ohio,1594.6
United States,1594.6
Indiana,1572.7
California,1571.8
Mississippi,1561.2
Nebraska,1555.3
Minnesota,1524.8
Maryland,1519.8
Illinois,1472.3
Nevada,1461.2
North Dakota,1448.3
Wyoming,1375.9
Virginia,1356.4
Kentucky,1348.2
South Dakota,1264.5
Connecticut,1251.8
Rhode Island,1250.3
New York,1214.0
Iowa,1190.4
Pennsylvania,1175.9
Wisconsin,1168.9
Michigan,1162.3
Maine,1097.1
Idaho,1067.8
New Jersey,1065.1
West Virginia,1049.6
New Hampshire,1048.2
Vermont,1008.5
Massachusetts,966.8
