Team,Salary in thousand U.S. dollars
Toronto FC,902.41
LA Galaxy,648.15
New York City FC,544.23
Chicago Fire,492.86
Los Angeles FC,479.64
Seattle Sounders FC,421.48
Portland Timbers,417.33
Montreal Impact,383.55
Colorado Rapids,366.67
Atlanta United,364.94
Sporting Kansas City,327.86
Orlando City SC,309.66
Philadelphia Union,307.59
FC Dallas,300.97
Real Salt Lake,299.33
New England Revolution,272.8
Minnesota United FC,271.67
San Jose Earthquakes,268.62
New York Red Bulls,265.17
D.C. United,259.23
Columbus Crew SC,258.15
Vancouver Whitecaps FC,257.19
Houston Dynamo,195.52
