Month,Units sold
Dec 19,3801
Nov 19,5276
Oct 19,5538
Sep 19,14418
Aug 19,2686
Jul 19,5649
Jun 19,7803
May 19,6868
Apr 19,6468
Mar 19,16317
Feb 19,2682
Jan 19,5778
Dec 18,4009
Nov 18,4821
Oct 18,5297
Sep 18,16102
Aug 18,2689
Jul 18,5966
Jun 18,8663
May 18,7387
Apr 18,6987
Mar 18,18526
Feb 18,3049
Jan 18,6429
Dec 17,5026
Nov 17,6509
Oct 17,6553
Sep 17,16587
Aug 17,2441
Jul 17,6187
Jun 17,7965
May 17,7321
Apr 17,6958
Mar 17,18460
Feb 17,3009
Jan 17,6387
Dec 16,5625
Nov 16,6560
Oct 16,6585
Sep 16,17039
Aug 16,2440
Jul 16,6093
